iter	RMSE
382	2.893942111
383	2.891576338
384	2.890281508
385	2.889183842
386	2.884657972
387	2.881819789
388	2.879968926
389	2.876001463
390	2.871167897
391	2.86919929
392	2.866534643
393	2.864980693
394	2.864658885
395	2.861658259
396	2.861612842
397	2.860662343
398	2.858628255
399	2.853458071
400	2.851380562
401	2.8486866
402	2.846778321
403	2.842965413
404	2.839942444
405	2.83705144
406	2.834862466
407	2.834420937
408	2.830013054
409	2.828504306
410	2.827434832
411	2.825797164
412	2.823091049
413	2.822198952
414	2.818697322
415	2.816466224
416	2.814454384
417	2.81267499
418	2.812061246
419	2.810813772
420	2.805774391
421	2.802681748
422	2.799162819
423	2.797424804
424	2.79507674
425	2.792258828
426	2.790815865
427	2.787884693
428	2.785945611
429	2.783988499
430	2.783542221
431	2.781442601
432	2.77929243
433	2.777450884
434	2.77733118
435	2.77415351
436	2.773032652
437	2.769477685
438	2.768981623
439	2.767022516
440	2.764304477
441	2.761814197
442	2.760322542
443	2.758045289
444	2.754427348
445	2.751692966
446	2.748704095
447	2.745030688
448	2.743037098
449	2.742107928
450	2.739278699
451	2.736156842
452	2.734601392
453	2.732298067
454	2.729323997
455	2.726410806
456	2.723501266
457	2.723400467
458	2.721444008
459	2.719790636
460	2.717478331
461	2.713673766
462	2.711785826
463	2.709311293
464	2.708995518
465	2.705520065
466	2.704581736
467	2.700976184
468	2.698305057
469	2.696213066
470	2.690449795
471	2.687743823
472	2.684601076
473	2.682630748
474	2.680242297
475	2.677850978
476	2.676377271
477	2.672499721
478	2.669314894
479	2.669116493
480	2.666264183
481	2.663499489
482	2.661056178
483	2.658562537
484	2.65714199
485	2.653956664
486	2.651428722
487	2.648264543
488	2.646083059
489	2.643412399
490	2.64087233
491	2.639569965
492	2.637188244
493	2.636127841
494	2.633043773
495	2.630323307
496	2.62775558
497	2.625651616
498	2.623313009
499	2.621486825
500	2.620495932
501	2.618620471
502	2.616784853
503	2.614588566
504	2.613980873
505	2.609471869
506	2.608960263
507	2.607771011
508	2.605139955
509	2.602482774
510	2.599339107
511	2.597846869
512	2.597741175
513	2.595161752
514	2.591458249
515	2.589126832
516	2.586403816
517	2.583118689
518	2.582555544
519	2.579075195
520	2.573541981
521	2.567961231
522	2.565809576
523	2.563906673
524	2.561596601
525	2.560965134
526	2.559067935
527	2.557361161
528	2.554627396
529	2.552616933
530	2.55134897
531	2.549221398
532	2.54679362
533	2.544971993
534	2.543927979
535	2.542801166
536	2.535421288
537	2.534966914
538	2.533545562
539	2.530691301
540	2.529750699
541	2.528015154
542	2.526326538
543	2.52407665
544	2.521779441
545	2.518740699
546	2.517894348
547	2.515945281
548	2.513991716
549	2.512589478
550	2.510405082
551	2.509566422
552	2.504190724
553	2.501653228
554	2.500859612
555	2.499232854
556	2.498843873
557	2.496046565
558	2.491572228
559	2.488499713
560	2.48636231
561	2.483362829
562	2.480602738
563	2.480095604
564	2.478547573
565	2.476689425
566	2.474030546
567	2.470829055
568	2.469915277
569	2.467531712
570	2.463901123
571	2.46216711
572	2.459790961
573	2.458737017
574	2.457236907
575	2.454595245
576	2.452407496
577	2.450744704
578	2.450221739
579	2.449108643
580	2.448471512
581	2.447743319
582	2.445622835
583	2.444434137
584	2.44281447
585	2.442406029
586	2.441029254
587	2.43929501
588	2.438222439
589	2.43625954
590	2.432589617
591	2.431320211
592	2.429254768
593	2.427180442
594	2.425249322
595	2.424505853
596	2.422683002
597	2.421176556
598	2.420417358
599	2.420264801
600	2.417203094
601	2.416626878
602	2.415190997
603	2.414773576
604	2.412339517
605	2.40977271
606	2.407482133
607	2.407000126
608	2.405437706
609	2.403614922
610	2.401863657
611	2.398179431
612	2.396355937
613	2.391800968
614	2.390276389
615	2.388566531
616	2.385528251
617	2.381029719
618	2.379556528
619	2.376149933
620	2.373807651
621	2.372147375
622	2.369933314
623	2.369112767
624	2.366221956
625	2.364269793
626	2.36254363
627	2.361451017
628	2.359323589
629	2.358295626
630	2.355474267
631	2.352757158
632	2.350938884
633	2.348632693
634	2.348397704
635	2.345599476
636	2.342402659
637	2.341745737
638	2.339386243
639	2.338377322
640	2.336589356
641	2.334317538
642	2.332001945
643	2.330059693
644	2.329258204
645	2.327466703
646	2.326675551
647	2.324459958
648	2.322874374
649	2.32009677
650	2.317913491
651	2.315964835
652	2.315064628
653	2.313423686
654	2.313253275
655	2.312399767
656	2.312078341
657	2.311279646
658	2.311208087
659	2.310616716
660	2.310063762
661	2.308461619
662	2.305169754
663	2.303448056
664	2.30135345
665	2.301080722
666	2.300058743
667	2.299914204
668	2.298076819
669	2.293648137
670	2.292001131
671	2.28888818
672	2.284994781
673	2.283379048
674	2.282766348
675	2.282639309
676	2.280179364
677	2.278345317
678	2.277547305
679	2.275953475
680	2.275598619
681	2.271647564
682	2.270583804
683	2.268805071
684	2.267249945
685	2.266359664
686	2.263498737
687	2.261257399
688	2.259632923
689	2.2578156
690	2.256297396
691	2.253823284
692	2.250310315
693	2.248902984
694	2.24687554
695	2.245651599
696	2.244263398
697	2.242440179
698	2.240715882
699	2.239170719
700	2.236269272
701	2.235497643
702	2.235065401
703	2.233145068
704	2.232336314
705	2.230339588
706	2.227815241
707	2.226801579
708	2.225858834
709	2.224074535
710	2.222210308
711	2.220960388
712	2.21990184
713	2.218945259
714	2.215500384
715	2.214550157
716	2.212783388
717	2.211154365
718	2.210288334
719	2.209900008
720	2.209189725
721	2.209116816
722	2.207520991
723	2.206257336
724	2.204196282
725	2.20374945
726	2.202709907
727	2.202069649
728	2.198920714
729	2.197694819
730	2.195732492
731	2.1932678
732	2.190748618
733	2.189499358
734	2.187735438
735	2.18568299
736	2.184583111
737	2.181778365
738	2.181341929
739	2.179462537
740	2.177619327
741	2.175362983
742	2.174389905
743	2.172460813
744	2.171287146
745	2.169746009
746	2.169376698
747	2.167902037
748	2.166729827
749	2.163728988
750	2.163012273
751	2.161827587
752	2.16159433
753	2.161009596
754	2.159277592
755	2.156844866
756	2.155756055
757	2.154339406
758	2.153226551
759	2.151688402
760	2.150539329
761	2.149576965
762	2.149066889
763	2.147848212
764	2.146272113
765	2.146175338
766	2.146105993
767	2.144763501
768	2.14319305
769	2.142016536
770	2.139842913
771	2.138390974
772	2.136945858
773	2.135112384
774	2.133582567
775	2.131333412
776	2.129778615
777	2.127355627
778	2.127106064
779	2.126729616
780	2.123897725
781	2.119426962
782	2.117486281
783	2.115492044
784	2.113922671
785	2.111810041
786	2.110731694
787	2.108626024
788	2.106942208
789	2.106202244
790	2.104534947
791	2.104169036
792	2.102639801
793	2.100795943
794	2.099303082
795	2.097946195
796	2.095566549
797	2.094731307
798	2.092962988
799	2.091868049
800	2.089800888
801	2.089147411
802	2.0872656
803	2.085602953
804	2.084432641
805	2.082611662
806	2.081949221
807	2.079678019
808	2.079600904
809	2.077970459
810	2.076354829
811	2.075268026
812	2.074560685
813	2.073596925
814	2.07232378
815	2.070434472
816	2.067635589
817	2.065860997
818	2.065330573
819	2.064241066
820	2.062770507
821	2.062354563
822	2.060212804
823	2.059150454
824	2.058435304
825	2.057857181
826	2.055882472
827	2.053782355
828	2.052645789
829	2.051110287
830	2.049732814
831	2.046509468
832	2.045038839
833	2.041289159
834	2.040701612
835	2.040282249
836	2.039315068
837	2.038415953
838	2.037118589
839	2.034623791
840	2.032671551
841	2.03100387
842	2.029649462
843	2.027587821
844	2.026685402
845	2.022260516
846	2.02219466
847	2.02129811
848	2.020528566
849	2.019019112
850	2.01701791
851	2.016649838
852	2.015978687
853	2.012049866
854	2.011302189
855	2.010592867
856	2.008515375
857	2.004924475
858	2.00331668
859	2.001615662
860	2.000913274
861	1.998847269
862	1.998127122
863	1.997435699
864	1.996852549
865	1.996249286
866	1.993600278
867	1.992437364
868	1.991309299
869	1.991072007
870	1.990960778
871	1.989325973
872	1.988013279
873	1.987314034
874	1.986894058
875	1.98660472
876	1.985512698
877	1.984317711
878	1.983511579
879	1.981827789
880	1.978397281
881	1.976792411
882	1.975490805
883	1.974631202
884	1.973332802
885	1.972609852
886	1.971647752
887	1.971503684
888	1.970325264
889	1.969101101
890	1.96861782
891	1.967346655
892	1.966807862
893	1.966335126
894	1.965152478
895	1.964451111
896	1.963765026
897	1.961232048
898	1.95986366
899	1.95973609
900	1.957889025
901	1.956420153
902	1.955257779
903	1.954272678
904	1.953993617
905	1.952977292
906	1.951971668
907	1.950398299
908	1.94978592
909	1.949658574
910	1.94894582
911	1.948566204
912	1.947953767
913	1.945308003
914	1.944226621
915	1.943172893
916	1.94214595
917	1.941480681
918	1.94032071
919	1.938997918
920	1.937396729
921	1.937134023
922	1.935502762
923	1.934611739
924	1.933049589
925	1.930843785
926	1.929594914
927	1.92779867
928	1.926204134
929	1.925416631
930	1.924111657
931	1.923036422
932	1.921433968
933	1.920385756
934	1.92023772
935	1.919376874
936	1.918877641
937	1.917815218
938	1.916733561
939	1.91552584
940	1.913735778
941	1.913450363
942	1.912742689
943	1.91117827
944	1.910122464
945	1.90803956
946	1.906944467
947	1.906601549
948	1.905996664
949	1.904980605
950	1.904231497
951	1.902997277
952	1.902269186
953	1.900780118
954	1.900730913
955	1.900283238
956	1.899272831
957	1.899007541
958	1.8982434
959	1.896119584
960	1.895005395
961	1.893296802
962	1.892157626
963	1.891218736
964	1.889764602
965	1.888396791
966	1.887817914
967	1.886315259
968	1.88507752
969	1.884224657
970	1.883346269
971	1.882364614
972	1.881860086
973	1.879931401
974	1.879060248
975	1.878431593
976	1.877398355
977	1.875597872
978	1.874238584
979	1.87244678
980	1.870023668
981	1.868201961
982	1.867039225
983	1.865137686
984	1.863579263
985	1.862694728
986	1.861018375
987	1.860661572
988	1.859824763
989	1.858652292
990	1.858210595
991	1.857168732
992	1.856063933
993	1.855119786
994	1.854102038
995	1.853043399
996	1.851946279
997	1.84910012
998	1.848695617
999	1.846848904
